"","id","male","friend","poldisc","poleff","lr.self","lr.self.2","univ.election","polint","tuition","acceptable","protest1","protest2","protest3","protest4","protest5","protest6"
"1",1,1,5,7,25,2,3,1,4,2,NA,1,0,1,0,0,0
"2",2,0,4,2,23,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"4",3,1,6,1,23,8,8,0,2,2,NA,0,0,1,0,0,0
"5",4,0,6,1,22,5,5,1,3,2,NA,0,0,1,0,1,0
"6",5,1,0,0,23,8,7,0,1,3,25,NA,NA,NA,NA,NA,NA
"7",6,1,6,7,26,4,4,1,4,2,NA,1,1,1,1,1,0
"8",7,1,9,3,26,6,6,1,4,2,NA,1,0,1,0,0,0
"10",8,1,0,0,22,5,5,1,3,2,NA,0,0,1,0,1,1
"11",9,0,0,0,21,7,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"12",10,0,2,2,28,5,7,1,4,3,150,NA,NA,NA,NA,NA,NA
"13",11,0,0,0,13,6,8,0,3,2,NA,0,0,1,0,0,0
"15",12,0,0,0,24,7,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"16",13,0,9,11,26,2,3,1,3,2,NA,1,1,1,1,1,1
"18",14,1,4,4,28,6,6,1,3,2,NA,1,1,1,1,1,1
"19",15,0,1,0,21,5,6,0,3,2,NA,0,1,1,0,0,1
"20",16,0,1,1,26,3,3,1,2,1,200,NA,NA,NA,NA,NA,NA
"21",17,0,1,0,24,5,4,1,3,1,200,NA,NA,NA,NA,NA,NA
"23",18,0,5,5,23,4,4,0,3,2,NA,0,0,1,0,0,1
"24",19,0,2,3,24,6,7,1,3,2,NA,1,0,1,0,1,0
"28",20,0,1,1,25,5,5,0,3,2,NA,0,0,1,0,0,0
"29",21,1,1,0,31,3,3,1,4,2,NA,1,0,1,0,1,0
"30",22,1,11,3,26,6,6,1,3,1,150,NA,NA,NA,NA,NA,NA
"32",23,0,2,3,23,4,6,1,3,2,NA,1,1,1,0,0,0
"33",24,1,1,2,26,9,8,1,3,2,NA,0,0,1,0,0,1
"34",25,0,0,0,25,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"36",26,1,7,2,26,8,9,1,4,1,200,NA,NA,NA,NA,NA,NA
"37",27,1,1,0,26,4,3,1,4,2,NA,0,0,1,0,0,0
"38",28,0,6,4,19,6,7,0,3,2,NA,1,1,1,0,1,1
"39",29,1,5,3,28,4,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"40",30,1,0,0,22,4,3,1,3,2,NA,1,1,1,0,0,0
"41",31,1,2,1,25,5,5,0,4,2,NA,1,0,1,0,0,0
"43",32,0,6,7,24,4,3,0,3,2,NA,1,0,1,1,1,0
"45",33,1,6,3,22,3,3,0,2,2,NA,0,0,0,0,0,1
"46",34,1,8,11,25,3,9,1,4,2,NA,1,1,1,0,0,1
"47",35,1,4,9,27,3,4,1,3,2,NA,1,0,1,0,0,0
"49",36,0,6,0,21,4,4,0,3,2,NA,1,0,1,0,0,0
